ID;ID HTT;IP;MAC;Device;Root Device;LAN Port;VLAN;Local;Local (RU);ant_local;ant_name;Coordinat;Data Install;Data Update;Data Human;
128;01.03.03;﻿192.168.200.152;MAC address not found;-;-;0;1;Solnechnaya Tenistay;-;Солнечная Тенистая;1.3 Cam-3;-;1609459200;1751966438;12-20 08-07-2025;
129;01.04.01;﻿192.168.200.153;MAC address not found;-;-;0;1;Solnechnaya Sosnovay;-;Солнечная Сосновая возле КПП5 ;1.4 Cam-1;-;1609459200;1751966438;12-20 08-07-2025;
130;01.04.02;﻿192.168.200.154 ;MAC address not found;-;-;0;1;Solnechnaya Sosnovay;-;Солнечная Сосновая возле КПП5 ;1.4 Cam-2;-;1609459200;1751966438;12-20 08-07-2025;
131;01.04.03;192.168.200.155 ;MAC address not found;-;-;0;1;Solnechnaya Sosnovay;-;Солнечная Сосновая возле КПП5 ;1.4 Cam-3;-;1609459200;1751966439;12-20 08-07-2025;
132;01.04.04;192.168.200.156;MAC address not found;-;-;0;1;Solnechnaya Sosnovay;-;Солнечная Сосновая возле КПП5 ;1.4 Cam-4;-;1609459200;1751966439;12-20 08-07-2025;
133;01.02.04;192.168.200.157 ;MAC address not found;-;-;0;1;Solnechnaya Vishnev;-;Солнечная Вишневая;1.2 Cam-4;-;1609459200;1751966439;12-20 08-07-2025;
134;01.02.03;192.168.200.158 ;MAC address not found;-;-;0;1;Solnechnaya Vishnev;-;Солнечная Вишневая;"1.2 Cam-3
";-;1609459200;1751966439;12-20 08-07-2025;
135;device_134;192.168.200.160 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966439;12-20 08-07-2025;
136;device_135;192.168.200.185 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966440;12-20 08-07-2025;
137;device_136;192.168.200.190 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966440;12-20 08-07-2025;
138;device_137;192.168.200.191 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966440;12-20 08-07-2025;
139;device_138;192.168.200.192 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966440;12-20 08-07-2025;
140;device_139;192.168.200.193 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966440;12-20 08-07-2025;
141;device_140;192.168.200.200 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966441;12-20 08-07-2025;
142;device_141;192.168.200.218 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966441;12-20 08-07-2025;
143;device_142;192.168.200.228 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966441;12-20 08-07-2025;
144;device_143;192.168.200.229 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966441;12-20 08-07-2025;
145;device_144;192.168.200.230 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966442;12-20 08-07-2025;
146;00.09.02;192.168.200.233 ;MAC address not found;-;-;2;1;-;Спорт двор кам 2;Спорт двор Camera с4-2;;-;1609459200;1751966442;12-20 08-07-2025;
147;device_146;192.168.200.234 ;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966442;12-20 08-07-2025;
148;00.09.03;192.168.200.236 ;MAC address not found;-;-;3;1;-;Спорт двор кам 3;Спорт двор Camera ТР1-1;;-;1609459200;1751966442;12-20 08-07-2025;
149;00.09.04;192.168.200.237 ;MAC address not found;-;-;4;1;-;Спорт двор кам 4;Спорт двор;;-;1609459200;1751966443;12-20 08-07-2025;
150;00.09.06;192.168.200.239;MAC address not found;-;-;6;1;-;Спорт двор кам 6;Спорт двор_Сатега сЗ-1;;-;1609459200;1751966443;12-20 08-07-2025;
151;00.09.07;192.168.200.240 ;MAC address not found;-;-;7;1;-;Спорт двор кам 7;Спорт двор Camera с4-1;;-;1609459200;1751966443;12-20 08-07-2025;
152;00.09.08;192.168.200.241 ;MAC address not found;-;-;8;1;-;Спорт двор кам 8;Спорт двор Replace 8-3;;-;1609459200;1751966443;12-20 08-07-2025;
153;00.09.09;192.168.200.242;MAC address not found;-;-;9;1;-;Спорт двор кам 9;Спорт двор Camera ТР2-1;;-;1609459200;1751966443;12-20 08-07-2025;
154;00.09.10;192.168.200.243 ;MAC address not found;-;-;10;1;-;Спорт двор кам 10;Спорт двор Camera cl-2;;-;1609459200;1751966443;12-20 08-07-2025;
155;00.09.11;192.168.200.244 ;MAC address not found;-;-;11;1;-;Спорт двор кам 11;Спорт двор Camera с8-1;;-;1609459200;1751966444;12-20 08-07-2025;
156;00.09.13;192.168.200.246 ;MAC address not found;-;-;0;1;-;Спорт двор кам 13;Спорт двор Camera с4-2.;;-;1609459200;1751966444;12-20 08-07-2025;
157;00.09.14;192.168.200.247 ;MAC address not found;-;-;0;1;-;Спорт двор кам 14;Спорт двор Camera с8-2;;-;1609459200;1751966444;12-20 08-07-2025;
158;00.09.15;192.168.200.248 ;MAC address not found;-;-;0;1;-;Спорт двор кам 15;Спорт двор Camera с2-2;;-;1609459200;1751966444;12-20 08-07-2025;
159;00.09.16;192.168.200.249 ;MAC address not found;-;-;0;1;-;Спорт двор кам 16;Спорт двор Camera с7-1;;-;1609459200;1751966444;12-20 08-07-2025;
160;00.09.17;192.168.200.250;MAC address not found;-;-;0;1;-;Спорт двор кам 17;Спорт двор Camera сЗ-2;;-;1609459200;1751966444;12-20 08-07-2025;
161;00.09.19;192.168.200.252 ;MAC address not found;-;-;0;1;-;Спорт двор кам 19;Спорт двор Camera с2-1;;-;1609459200;1751966445;12-20 08-07-2025;
162;00.09.20;192.168.200.253;MAC address not found;-;-;0;1;-;Спорт двор кам 20;Спорт двор Camera с5-2;;-;1609459200;1751966445;12-20 08-07-2025;
163;00.09.21;192.168.200.254 ;MAC address not found;-;-;0;1;-;Спорт двор кам 21;Спорт двор Camera с5-1;;-;1609459200;1751966445;12-20 08-07-2025;
164;device_163;192.168.201.40;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966445;12-20 08-07-2025;
165;device_164;192.168.201.42;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966445;12-20 08-07-2025;
166;device_165;192.168.201.48;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966446;12-20 08-07-2025;
167;device_166;192.168.201.60;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966446;12-20 08-07-2025;
168;device_167;-1.105.327.179;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966446;12-20 08-07-2025;
169;device_168;192.168.202.2;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
170;device_169;192.168.202.3;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
171;device_170;192.168.202.4;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
172;device_171;192.168.202.5;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
173;device_172;192.168.202.6;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
174;device_173;192.168.202.7;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
175;device_174;192.168.202.8;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966447;12-20 08-07-2025;
176;device_175;192.168.202.11;MAC address not found;-;-;0;1;-;-;;;-;1609459200;1751966448;12-20 08-07-2025;
